,Band4,Band5,Band6
0,95,81,17
1,225,220,25
2,136,135,51
3,213,210,16
4,247,251,26
5,190,195,62
6,148,135,36
7,135,135,28
8,41,29,21
9,210,197,19
10,39,30,24
11,214,200,58
12,13,74,35
13,39,30,24
14,203,228,31
15,27,29,27
16,27,29,27
17,27,29,27
18,215,177,17
19,95,96,42
20,146,120,15
21,20,109,70
22,24,66,29
23,30,20,14
24,30,20,14
25,18,65,31
26,19,39,17
27,19,39,17
28,39,38,20
29,28,37,26
30,26,66,56
31,172,174,37
32,225,208,63
33,216,217,57
34,18,64,30
35,38,81,81
36,172,174,37
37,199,185,58
38,161,168,47
39,216,217,57
40,227,225,61
41,24,74,55
42,225,207,72
43,221,222,71
44,25,71,30
45,178,165,60
46,53,75,97
47,129,134,44
48,27,46,24
49,165,169,73
50,25,54,27
51,165,169,73
52,20,86,30
53,32,60,73
54,53,87,97
55,16,74,30
56,28,37,26
57,217,207,89
58,37,70,43
59,225,208,63
60,26,66,56
61,216,217,57
62,18,64,30
63,178,165,60
64,216,217,57
65,28,37,26
66,225,208,63
67,25,71,30
68,149,162,79
69,28,37,26
70,178,165,60
71,20,86,30
72,15,100,37
73,28,37,26
74,27,85,71
75,38,81,81
76,221,222,71
77,28,37,26
78,30,47,22
79,53,87,97
80,25,71,30
81,225,207,72
82,221,222,71
83,16,74,30
84,28,37,26
85,26,66,56
86,227,225,61
87,37,70,43
88,199,185,58
89,209,212,90
90,33,71,68
91,54,81,91
92,24,68,58
93,16,12,7
94,26,87,48
95,209,212,90
96,18,78,34
97,25,70,59
98,24,68,58
99,223,224,60
100,206,197,18
101,34,71,44
102,194,198,70
103,26,62,51
104,223,224,60
105,211,198,57
106,30,47,22
107,24,22,13
108,166,175,77
109,30,47,22
110,18,78,34
111,23,54,49
112,211,198,57
113,54,81,91
114,24,72,60
115,25,70,59
116,25,70,59
117,31,50,31
118,34,57,70
119,17,77,45
120,141,130,55
121,206,197,18
122,15,79,36
123,26,87,48
124,141,130,55
125,209,212,90
126,217,199,53
127,23,54,49
128,211,198,57
129,209,212,90
130,24,72,60
131,29,44,65
132,26,87,48
133,18,78,34
134,141,130,55
135,223,224,60
136,16,13,11
137,24,72,60
138,17,78,46
139,16,56,25
140,29,44,65
141,25,70,59
142,29,44,65
143,48,63,35
144,166,175,77
145,54,81,91
146,206,197,18
147,25,61,60
148,27,42,27
149,16,56,25
150,18,78,34
151,26,23,21
152,20,106,47
153,18,86,37
154,48,68,81
155,228,226,64
156,24,94,65
157,103,123,55
158,24,94,65
159,19,106,44
160,38,105,88
161,26,112,69
162,189,191,54
163,204,202,75
164,40,65,77
165,35,79,84
166,24,90,52
167,17,99,41
168,48,68,81
169,40,65,77
170,228,226,64
171,28,115,47
172,189,191,54
173,19,106,44
174,19,106,44
175,48,68,81
176,19,106,44
177,26,112,69
178,20,101,46
179,40,65,77
180,189,191,54
181,48,68,81
182,65,112,108
183,20,106,47
184,26,112,69
185,18,86,37
186,19,108,49
187,30,108,49
188,42,74,76
189,48,68,81
190,228,226,64
191,128,129,60
192,189,191,54
193,22,109,58
194,228,226,64
195,19,106,44
196,20,96,46
197,27,42,27
198,189,191,54
199,26,112,69
200,26,23,21
201,19,108,49
202,30,108,49
203,28,68,55
204,19,87,40
205,17,99,41
206,20,96,46
207,19,106,44
208,40,65,77
209,33,60,76
210,28,68,55
211,24,90,52
212,189,191,54
213,36,71,81
214,31,66,71
215,21,119,56
216,103,123,55
217,27,78,67
218,19,108,49
219,26,23,21
220,20,106,47
221,48,68,81
222,22,109,58
223,194,174,53
224,65,112,108
225,228,226,64
226,40,65,77
227,27,42,27
228,228,226,64
229,19,106,44
230,31,58,71
231,35,79,84
232,42,74,76
233,186,184,76
234,28,68,55
235,103,123,55
236,18,86,37
237,19,106,44
238,204,202,75
239,17,99,41
240,26,112,69
241,103,123,55
242,24,94,65
243,20,101,46
244,18,86,37
245,42,74,76
246,20,101,46
247,228,226,64
248,46,66,87
249,20,116,47
250,17,99,41
251,38,105,88
252,24,94,65
253,23,106,55
254,23,94,63
255,42,101,58
256,23,94,63
257,36,34,21
258,23,94,63
259,20,93,52
260,176,174,85
261,24,64,58
262,23,106,55
263,128,139,54
264,36,65,83
265,20,93,52
266,36,51,70
267,23,61,48
268,20,84,45
269,27,91,39
270,24,59,39
271,46,66,87
272,12,68,34
273,21,77,54
274,23,106,55
275,128,139,54
276,36,51,70
277,174,161,82
278,12,94,32
279,22,97,51
280,20,116,47
281,35,51,80
282,128,139,54
283,21,77,44
284,186,188,65
285,136,124,45
286,22,97,51
287,197,193,81
288,20,96,54
289,21,77,54
290,23,94,63
291,23,94,63
292,18,73,37
293,18,73,37
294,21,77,54
295,23,41,49
296,42,101,58
297,21,77,44
298,23,94,63
299,186,188,65
300,20,93,52
301,22,93,43
302,23,106,55
303,21,77,54
304,22,97,51
305,18,73,37
306,174,161,82
307,27,91,39
308,24,64,58
309,12,94,32
310,197,193,81
311,23,106,55
312,21,77,54
313,21,77,54
314,12,68,34
315,20,73,48
316,22,97,51
317,30,84,70
318,22,97,51
319,20,93,52
320,169,170,89
321,174,161,82
322,22,97,51
323,20,116,47
324,21,77,44
325,20,116,47
326,27,91,39
327,17,112,44
328,169,170,89
329,21,77,54
330,22,97,51
331,20,73,48
332,26,24,20
333,27,91,39
334,21,77,54
335,22,97,51
336,172,173,47
337,23,94,63
338,21,77,54
339,22,93,43
340,36,51,70
341,21,77,44
342,186,188,65
343,25,23,21
344,18,73,37
345,23,106,55
346,136,124,45
347,22,97,51
348,23,106,55
349,128,139,54
350,25,78,32
351,23,94,63
352,46,66,87
353,22,93,43
354,22,93,43
355,174,161,82
356,22,97,51
357,12,94,32
358,136,124,45
359,20,73,48
360,21,77,54
361,20,93,52
362,27,91,39
363,136,124,45
364,12,94,32
365,28,108,78
366,21,77,54
367,26,24,20
368,17,112,44
369,20,93,52
370,20,116,47
371,42,101,58
372,20,84,45
373,25,23,21
374,24,59,39
375,23,94,63
376,23,94,63
377,22,97,51
378,22,97,51
379,20,116,47
380,12,94,32
381,21,77,54
382,12,94,32
383,23,94,63
384,23,94,63
385,21,61,56
386,16,75,38
387,24,59,39
388,14,79,28
389,21,77,54
390,22,97,51
391,22,97,51
392,42,101,58
393,174,174,54
394,17,112,44
395,136,124,45
396,38,98,51
397,33,90,83
398,20,96,54
399,14,11,8
400,137,130,62
401,183,185,57
402,20,116,47
403,17,77,40
404,17,91,44
405,22,88,48
406,21,113,55
407,21,100,59
408,22,101,59
409,22,101,59
410,140,151,57
411,137,130,62
412,137,130,62
413,21,19,11
414,172,173,47
415,21,100,59
416,42,59,79
417,229,227,62
418,21,100,59
419,140,151,57
420,18,84,47
421,17,77,40
422,22,88,48
423,22,88,48
424,16,124,48
425,23,94,51
426,26,84,65
427,183,185,57
428,16,124,48
429,16,75,38
430,21,113,55
431,16,124,48
432,23,94,51
433,17,77,40
434,179,188,110
435,140,151,57
436,24,101,53
437,48,80,110
438,24,113,58
439,35,66,76
440,24,113,58
441,21,113,55
442,174,174,54
443,22,101,59
444,17,77,40
445,22,101,59
446,137,130,62
447,22,88,48
448,24,113,58
449,24,113,58
450,140,151,57
451,140,151,57
452,16,75,38
453,179,188,110
454,172,173,47
455,14,84,35
456,18,60,40
457,137,130,62
458,22,88,48
459,229,227,62
460,21,100,59
461,137,130,62
462,140,151,57
463,21,113,55
464,16,124,48
465,17,77,40
466,17,77,40
467,21,19,11
468,229,227,62
469,14,79,28
470,14,79,28
471,40,80,89
472,24,113,58
473,21,61,56
474,14,11,8
475,19,58,50
476,21,100,59
477,13,108,42
478,172,173,47
479,16,124,48
480,16,124,48
481,18,60,40
482,21,61,56
483,16,124,48
484,17,77,40
485,38,98,51
486,16,124,48
487,33,32,28
488,17,91,44
489,21,113,55
490,21,100,59
491,172,173,47
492,23,94,51
493,22,101,59
494,140,151,57
495,24,101,53
496,25,97,44
497,17,91,44
498,21,100,59
499,18,84,47
500,21,100,59
501,22,88,48
502,13,108,42
503,137,130,62
504,17,91,44
505,14,84,35
506,33,57,57
507,22,101,59
508,22,101,59
509,140,151,57
510,172,173,47
511,174,174,54
512,21,100,59
513,23,94,51
514,25,97,44
515,40,80,89
516,140,151,57
517,26,84,65
518,140,151,57
519,21,113,55
520,25,97,44
521,179,188,110
522,174,174,54
523,16,124,48
524,17,77,40
525,25,97,44
526,21,61,56
527,172,173,47
528,22,101,59
529,105,130,48
530,40,80,89
531,172,173,47
532,172,173,47
533,17,91,44
534,35,67,82
535,16,124,48
536,23,94,51
537,36,80,84
538,21,113,55
539,16,124,48
540,172,173,47
541,14,11,8
542,105,130,48
543,174,174,54
544,34,79,51
545,14,84,35
546,16,124,48
547,22,88,48
548,26,84,65
549,183,185,57
550,172,173,47
